i charge it at night and skip taking the cord with me because of the good battery life .|||O O O O O O O O O B-AP O O O O O O B-AP I-AP O
i ca n't say enough good for it !|||O O O O O O O O O
comfterbale to use light easy to transport .|||O O B-AP O O O B-AP O
the computer itself is a good product but the repair depot stinks .|||O O O O O O O O O B-AP I-AP O O
i thought the price was great for the specs .|||O O O B-AP O O O O B-AP O
i was tired of going without my laptop every few weeks .|||O O O O O O O O O O O O
the only down fall is that it has no cd drive but i found that they are very cheap to by and also very portable making this the best friend to someone who is always looking for more space then they have .|||O O O O O O O O O B-AP I-AP O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
so , the hard disk capacity really does n't matter to me .|||O O O B-AP I-AP I-AP O O O O O O O
just for a stupid cd .|||O O O O O O
keys stick periodically and i havent had the laptop for 45 days yet .|||B-AP O O O O O O O O O O O O O
it crashes , and when it goes flat , it just dies like a pc , maybe worse and i loose all my open documents !|||O O O O O O O O O O O O O O O O O O O O O O O O O O
i also like that you can scroll down in a window using two fingers on the trackpad .|||O O O O O O O O O O O O O O O O B-AP O
everything from the design to the os is simple and to the point .|||O O O B-AP O O B-AP O O O O O O O
i am now making a point to avoid their products and i hope my experience can serve as a warning to you as well .|||O O O O O O O O O O O O O O O O O O O O O O O O O
i'v spent as much for shipping as i would to buy a new netbook - of course a different brand .|||O O O O O B-AP O O O O O O O O O O O O O O O
i personally like the gaming look but needed a machine that delivered gaming performance while still looking professional in front of my customers .|||O O O O B-AP I-AP O O O O O O B-AP I-AP O O O O O O O O O O
this just keeps having it 's hard drive replaced !|||O O O O O O B-AP I-AP O O
when you look at the specs on apple products in comparison to a dell or a hp , yes they do seem to offer less for a higher cost .|||O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-AP O
then i proceed to tell her that i checked out other retail stores that carry the netbook and it was n't like that .|||O O O O O O O O O O O O O O O O O O O O O O O O
then they had me jump through many hoops and questions to see if they could find another way to invalidate me .|||O O O O O O O O O O O O O O O O O O O O O O
the only downfall is the volume control .|||O O O O O B-AP I-AP O
clearly , there is something wrong with the product and lg did n't take up the responsibility .|||O O O O O O O O O O O O O O O O O O
very fast boot up and shut down .|||O O B-AP I-AP O B-AP I-AP O
right out of the box , this little netbook did everything i asked of it , including streaming the everyday video you 're bound to encounter checking mail and websites my biggest complaint previously .|||O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
i am very happy with this laptop .|||O O O O O O O O
this laptop is durable and it is easy to travel with .|||O O O O O O O O O O O O
i finally decided on this laptop because it was the right price for what i need it .|||O O O O O O O O O O O B-AP O O O O O O
what a mistake !|||O O O O
if internet connectivity is important i would recommend going with a dell net book for 50 bucks more , or buy a usb wireless card .|||O B-AP I-AP O O O O O O O O O O O O O O O O O O O B-AP I-AP I-AP O
i had read online that some users were having sound problems .|||O O O O O O O O O B-AP O O
my last computer , a toshiba , cost only $ 400 , and worked like a charm for many years .|||O O O O O O O B-AP O O O O O O O O O O O O O
it discharges too quickly .|||O B-AP O O O
but to be honest , the compatibility issues and the other little quirks make me think i ll buy a pc next time .|||O O O O O O B-AP O O O O O O O O O O O O O O O O O
three years is a decent life , but this must make it to graduation and beyond .|||O O O O O O O O O O O O O O O O O
i work on a pc at home and have used pc all through college .|||O O O O O O O O O O O O O O O
toshiba will not acknowledge this problem .|||O O O O O O O
then it ceased charging at all .|||O O O B-AP O O O
an absolutely hateful machine that no one should get of their own free will .|||O O O O O O O O O O O O O O O
i do not experience a lot of heat coming out of it , however i would highly suggest purchasing a stand however , due to the nature of the design of the macbook as it is one very large heat sink .|||O O O O O O O O O O O O O O O O O O O O B-AP O O O O O O O O B-AP O O O O O O O O O B-AP I-AP O
* is a bit laggy , not the greatest .|||O O O O O O O O O O
i am not much of a computer techie , so i can understand some of the internal problems , though i do have trend micro as an antiviral program .|||O O O O O O O O O O O O O O O O O O O O O O O B-AP I-AP O O B-AP I-AP O
stay away from hp .|||O O O O O
the computer continued to give me issues and in late june it completely died again and i tried to call acer again to get it fixed and they refused to help me , they said my warrenty was up and hung up on me .|||O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-AP O O O O O O O O
i 've have n't had any major problems with the laptop except that the plastic piece that covers the usb port wires have all come off .|||O O O O O O O O O O O O O O B-AP I-AP O O O B-AP I-AP I-AP O O O O O
wonderful sleek case design is only on the outside .|||O O B-AP I-AP O O O O O O
it is speedy when connected wirelessly to any network regardless if the connection is weak or not .|||O O O O O O O O O O O O B-AP O O O O O
i like it !|||O O O O
the pricing is very competitive .|||O B-AP O O O O
so we got a good deal on hsn for an ascer notebook and we bought it for him .|||O O O O O O O O O O O O O O O O O O O
connecting to my wireless router via built-in wireless took no time at all .|||O O O O O O B-AP I-AP O O O O O O
its still going .|||O O O O
this computer is exceptionally thin for it 's screen size and processing power .|||O O O O O O O O B-AP I-AP O B-AP I-AP O
there is no way i will buy a lg product in the future .|||O O O O O O O O O O O O O O
i have not had a problem with the applications quitting or freezing .|||O O O O O O O O B-AP O O O O
prior to this computer , i owned a powerbook g4 for 6 years quite a long time for a laptop .|||O O O O O O O O O O O O O O O O O O O O O
maybe this is virus related , maybe not , but the computer has locked up many times , and on two occasions , the screen has simply gone black .|||O O O O O O O O O O O O O O O O O O O O O O O O B-AP O O O O O
the advantages of owning a mac are numerous .|||O O O O O O O O O
i challenge anyone to show proof that through anywhere near normal use can get more than 25 hrs out of it .|||O O O O O O O O O O O O O O O O O O O O O O
using this machine is like a mild form of torture .|||O O O O O O O O O O O
this wiped out several programs that were installed on the computer when it was bought .|||O O O O B-AP O O O O O O O O O O O
on the twelfth day that i had the notebook , i decided to go to dell 's website and update it .|||O O O O O O O O O O O O O O O O O O O O O O
the computer blinks it shuts off at will .|||O O O O O O O O O
excellent product for the money .|||O O O O O O
it 's graphics are n't bad at all , for the lower end of the macbook pro spectrum , easily capable of running starcraft ii and other games with comparable graphics .|||O O B-AP O O O O O O O O O O O O O O O O O O O O O O O O O O O B-AP O
i have vista , so i am unable to install and unaspect2 some programs .|||O O B-AP O O O O O O B-AP O O O B-AP O
the screen is bright and vivid and the keyboard is very easy to use , very important for use quick typers .|||O B-AP O O O O O O B-AP O O O O O O O O O O O O O
i can do everything i could before , only faster and more efficiently .|||O O O O O O O O O O O O O O
i called toshiba and they want me to be without my laptop for about two weeks while they look at the problem .|||O O O O O O O O O O O O O O O O O O O O O O O
the mouse jumps around all the time and it clicks stuff i do n't want it too .|||O B-AP O O O O O O O O O O O O O O O O
i do n't understand why i spent twice as much to get a laptop rather than a desktop when my lap top is completely immoble .|||O O O O O O O O O O O O O O O O O O O O O O O O O O
for those that care about noise this thing does n't really make any ;|||O O O O O B-AP O O O O O O O O
here we are another year later and the computer is doing the same thing .|||O O O O O O O O O O O O O O O
despite the plethora of problems , i managed to use technological trickery to keep the machine operational for two years .|||O O O O O O O O O O O O O O O O O O O O O
i had my iworks , itunes , email , ms office , network and printers set up and completely working perfectly within an hour .|||O O O B-AP O B-AP O O O B-AP I-AP O O O O O O O O O O O O O O
simply amazing computer ! !|||O O O O O
i first purchased this dell model 1764 on april 6 , 201|||O O O O O O O O O O O O
the macbooks are small enough to be very portable yet hold tons of information and performance .|||O O O O O O O O O O O O O O O B-AP O
two times with in one month .|||O O O O O O O
the only downfall is a lot of the software i have wo n't work with mac and iwork is not worth the price of it .|||O O O O O O O O B-AP O O O O O O O O B-AP O O O O B-AP O O O
waited on getting this computer , but it has been a great change .|||O O O O O O O O O O O O O O
for my burn thigh which has put a permanent mark on my skin it happened 7 months ago they offered me an itouch 8gig you know it is a bit insulating when a company this rich , offer a loyal customer like me , a bottom of their product line as a gift for events like this .|||O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
whenever tried to turn it on , it would restart as soon as the bios launched windows or winblows , as i like ot call it .|||O O O O O O O O O O O O O O B-AP O B-AP O O O O O O O O O O
but there 's this application called boot camp which allows you to add another os x like windows .|||O O O O B-AP O B-AP I-AP O O O O O O B-AP I-AP O B-AP O
the mousepad is a huge pain in the arse !|||O B-AP O O O O O O O O
i hope to edit this in the next few hours , i am going to try to install my own copy of windows 7 .|||O O O O O O O O O O O O O O O O O O O O O O B-AP I-AP O
if it 's not shipped on the next business day , called on a friday they are closed on weekends , what was the next step .|||O O O O O O O O O O O O O O O O O O O O O O O O O O O
i also purchased applecare for $ 300 , which is a three year extended warranty , since i ve never seen any laptop that lasted more than two .|||O O O B-AP O O O O O O O O O B-AP I-AP O O O O O O O O O O O O O O
i have had the netbook for 2 months and i love it , i read some reviews that say netbooks are slow but it does not seem any slower than the other computers i use .|||O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
i run windows via bootcamp for the couple programs i do not want to buy a mac version of , like my cad programs .|||O O B-AP O B-AP O O O B-AP O O O O O O O O O O O O O O B-AP O
c'mon , lg .|||O O O O
whenever i call dell about an unrelated problem , they ask me if my laptop is running slowly and if i 'd like to purchase more memory for $ 75 .|||O O O O O O O O O O O O O O O O O O O O O O O O O O B-AP O O O O
since then i have had minor problems with slow operation .|||O O O O O O O O O B-AP O
if you faintly come close to touching this thing while typing , all craziness may break loose .|||O O O O O O O O O O O O O O O O O O
registration/1st use is easy .|||O B-AP O O O
i love this laptop , and use it everyday to do something , and never lets me down .|||O O O O O O O O O O O O O O O O O O O
finally was able to reach a young lady in california and ordered the machine and was subsequently given a delivery date .|||O O O O O O O O O O O O O O O O O O O O O O
i definitely will buy a mac again if and when this computer ever fails .|||O O O O O O O O O O O O O O O
the toshiba mini notebook , model nb 305-n410bl , is a great little computer .|||O O O O O O O O O O O O O O O
take your time and go through the tutorials patiently .|||O O O O O O O B-AP O O
so if anyones looking to buy a computer or laptop you should stay far far away from any that have the name toshiba on it .|||O O O O O O O O O O O O O O O O O O O O O O O O O O
i 'm an excellent touch typist , and my hands are very sensitive , too .|||O O O O O O O O O O O O O O O O
this time the mouse pad and right click key would n't work !|||O O O B-AP I-AP O B-AP I-AP I-AP O O O O
eventually we pushed hard enough to convince them that this was the machine that was causing the problems .|||O O O O O O O O O O O O O O O O O O O
the first full charge of this battery got me only about 2 full hours .|||O O B-AP I-AP O O B-AP O O O O O O O O
i bought a cordless mouse for it , but do n't always take it out ;|||O O O B-AP I-AP O O O O O O O O O O O
when i got it , i immediately noticed that it was quite heavy and thick and not really attractive .|||O O O O O O O O O O O O O O O O O O O O
it is sleek , smooth , and lightweight .|||O O O O O O O O O
i am a huge computer person i love anykind of computer that works well , but when i got this one i was so happy with the way it works and how it runs its amazing .|||O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-AP O O O
it took toshiba tech support 4 calls and 4 different techs to correct the problem .|||O O B-AP I-AP I-AP O O O O O B-AP O O O O O
they only stay charged a little over an hour .|||O O O B-AP O O O O O O
now they are believers in the product .|||O O O O O O O O
had to have this computer repaired twice in the first 5 months after purchasing it .|||O O O O O O O O O O O O O O O O
hewlett packard hp pavillion dv6000 laptop is the worst laptop we have ever bought .|||O O O O O O O O O O O O O O O
i had never owned a mac before ;|||O O O O O O O O
the 4 usb ports are nice , but the two on the side only work now and then .|||O O B-AP I-AP O O O O O O O O O O O O O O O
i could not find a phone number anywhere to call an actual live person for tech support and had to result the their online chat .|||O O O O O O O O O O O O O O O B-AP I-AP O O O O O O B-AP I-AP O
i try to use it today and i ca n't logon .|||O O O O O O O O O O O O
keyboard could use some trimming .|||B-AP O O O O O
the bottom-line is that this laptop just is n't worth it .|||O O O O O O O O O O O O
i returned the computer to hp and they kept it for 3 months .|||O O O O O O O O O O O O O O
its white color is stylish for college students and easy to take to carry and take to classes .|||O O B-AP O O O O O O O O O O O O O O O O
returned laptop for repair a 2nd time and it came back with obvious physical damage keyboard bulging and speaker grill pressed in , buttons not working and usb ports inoperative .|||O O O O O O O O O O O O O O O B-AP O O B-AP I-AP O O O B-AP O O O B-AP I-AP O O
when i am next to my router on my hp i get full service , on my eee pc i get 3 bars .|||O O O O O O O O O O O O B-AP I-AP O O O O O O O O O O
i got assurances from 2 different people that the remaining 10 months of my warranty would transfer to the new computer .|||O O O O O O O O O O O O O O B-AP O O O O O O O
pretty disappointed about this product .|||O O O O O O
the letter a stopped working after the first week .|||O B-AP I-AP O O O O O O O
by the time i was finally able to get a work order to get it fixed i had been without my computer for almost a week while i was an online college student , so it was very inconvenient and i had to send it off and be without it while it was being fixed also .|||O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
it out performs any other laptop on the market today .|||O O O O O O O O O O O
this is what i call a good after sales service .|||O O O O O O O B-AP I-AP I-AP O
maybe it 's acer , maybe it 's msft .|||O O O O O O O O O O
so if you want a good machine that does almost anything this is the one , if you want a low budget computer then look at the other great brands best buy sells .|||O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
i took off a star because the machine has a lot of junk software on it .|||O O O O O O O O O O O O O B-AP O O O
i would buy one of these for every person in my office if i could .|||O O O O O O O O O O O O O O O O
with what i do know how to do , the computer works beautiful .|||O O O O O O O O O O O B-AP O O
having had experience with a toshiba laptop , i was disappointed to find that the toshiba nb305 laptop has major problems .|||O O O O O O O O O O O O O O O O O O O O O O
tried to make a recovey disk would n't get passed the first recovery disk .|||O O O O B-AP I-AP O O O O O O B-AP I-AP O
most everything is fine with this machine , speed , capacity , build .|||O O O O O O O O B-AP O B-AP O B-AP O
i have never had it crash , randomly turn off|||O O O O O O O O O O
for the same price , you get a lot more in the asus1920x1080 res .|||O O O B-AP O O O O O O O O O O O
i made a photo book as a gift , on my computer , pushed buy and it drew from my itunes account and sent the book to my house , the book was of perfect quality-exactly how i had created it and looked better than i had even imagined .|||O O O O O O O O O O O O O O O O O O O O B-AP O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
i use this for my tutoring business , and since i 'm always bouncing from student to student , it is ideal for portability and battery life yes , it gets the 8 hours as advertised ! .|||O O O O O O O O O O O O O O O O O O O O O O O B-AP O B-AP I-AP O O O O O O O O O O O
it is in the best condition and has a really high quality .|||O O O O O O O O O O O B-AP O
when it come time for warranty service to toshiba you do n't matter .|||O O O O O B-AP I-AP I-AP I-AP O O O O O
however the frozen screens kept happening .|||O O O B-AP O O O
ive owned apple computers and laptops for as long as i could remember .|||O O O O O O O O O O O O O O
at least those computers did n't just die on me like this one .|||O O O O O O O O O O O O O O
it 's a mac ! !|||O O O O O O
i had the bulk of problems with my lap top within the first six months .|||O O O O O O O O O O O O O O O O
this is my first lg product .|||O O O O O O O
it is short on space , and downloads always had problems being completed , or were said to be corrupted ' .|||O O O O B-AP O O B-AP O O O O O O O O O O O O O O
3 horrible customer support|||O O B-AP O
the led backlit display makes my pictures pop so much more .|||O B-AP I-AP I-AP O O O O O O O O
very very slow laptop .|||O O O O O
i 'm going back to dell .|||O O O O O O O
with what i paid for this computer it should have had everything on it .|||O O O O O O O O O O O O O O O
apple is always great about the aesthetics of things , they always come up with good looking products .|||O O O O O O B-AP O O O O O O O O O O O O
i went to my local best buy looking for a new laptop since mine broke .|||O O O O O O O O O O O O O O O O
runs smooth and quick .|||B-AP O O O O
not a bad laptop , it 's a bit slow , but gets the job done .|||O O O O O O O O O O O O O O O O O
honestly , i spent more time waiting for it to unfreeze then actually doing what i got on there for !|||O O O O O O O O O O O O O O O O O O O O O
this a starter notebook .|||O O O O O
no i am generous calling it slow .|||O O O O O O O O
the downside to this netbook is pretty much the same for any netbook , screen size is not something i 'd stare at for the entire 10-11 hours of battery life five days a week .|||O O O O O O O O O O O O O O B-AP I-AP O O O O O O O O O O O O O B-AP I-AP O O O O O
the graphics are great .|||O B-AP O O O
all-in-all , i would definitely recommend this product for nearly everyone .|||O O O O O O O O O O O O
in 5 months the connect quality got worse and worse .|||O O O O B-AP I-AP O O O O O
the big screen allows you to enjoy watching movies , pictures and etc !|||O O B-AP O O O O O O O O O O O
the headphone and mic jack are in front of touch-pad making the touch-pad hard to use when using headphone , not to mention the laptop was designed for right handed person .|||O B-AP O B-AP I-AP O O O O B-AP O O B-AP O O O O O B-AP O O O O O O O O O O O O O
for the [ $ ] price special offer this is a great laptop .|||O O O O O B-AP O O O O O O O O
i have had at least eight toshiba laptops , and they have been outstanding , including this one .|||O O O O O O O O O O O O O O O O O O O
i called back to ensure that received it , they had .|||O O O O O O O O O O O O
the manufacturer 's warranty only covers replacement/repair of parts .|||O O O B-AP O O O O O O
what i 'd like is for the laptop to run well without having to purchase additional memory .|||O O O O O O O O O B-AP O O O O O O B-AP O
if you can afford a new laptop , and are in the market for one , of course , then definitely go for this .|||O O O O O O O O O O O O O O O O O O O O O O O O O
got the computer back a month later and it was still broken sent it out again and they repaired it .|||O O O O O O O O O O O O O O O O O O O O O
it works exactly like it did the day i took it out of the box .|||O B-AP O O O O O O O O O O O O O O
now , the next issue i had freaked me out .|||O O O O O O O O O O O
i love ths notebook .|||O O O O O
it is fast booting up , shutting down , and connection with the internet .|||O O O B-AP I-AP O B-AP I-AP O O B-AP I-AP I-AP I-AP O
the battery life is great .|||O B-AP I-AP O O O
this is not a serious gaming laptop or a serious media machine ;|||O O O O O B-AP O O O O O O O
even if apple replaces whatever needs replacing i wonder if , since i seem to be doubling the amount of time i get out of it each time it 's like new , i might have 8 months next time .|||O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
i got this laptop on black friday .|||O O O O O O O O
they replaced my hard drive as well as my mother board .|||O O O B-AP I-AP O O O O B-AP I-AP O
i fell in love with it .|||O O O O O O O
it was just one problem after another for me , and that 's reason we had forked out so much money was so we would n't have anything to worry about .|||O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
there is nothing to complain about the system .|||O O O O O O O B-AP O
and it comes with the new osx that comes with new features that makes the use more easy .|||O O O O O O B-AP O O O O B-AP O O O B-AP O O O
maybe not the cutting edge satellite l455d but it is a workhorse .|||O O O O O O O O O O O O O
but the macbook is the best !|||O O O O O O O
now the screen is going darker , darker , darker .|||O O B-AP O O O O O O O O
either the computer is too slow to detect the keys typed this is unlikely as i am a slow typist or the keyboard simply does not detect the keys being typed .|||O O O O O O O O O B-AP O O O O O O O O O O O O B-AP O O O O O B-AP O O O
i got the black macbook two years ago and have never regretted it .|||O O O O O O O O O O O O O O
as a graphic arts a retired instructor i still love to play with the graphic with photos and clip art .|||O O O O O O O O O O O O O O O O O O O O O
my wife also has problems with her asus , different model .|||O O O O O O O O O O O O
features such as the dashboard allows you to view frequently used tools like a calculator , weather forecast , movie times , calendar , computer post its etc .|||B-AP O O O B-AP O O O O O O O O O O O O O O O O O O O O O O O O
this computer is the ideal college companion .|||O O O O O O O O
both computers started acting extremely slow within the first year of owning them .|||O O O O O O O O O O O O O O
the macbook pro is very sturdy and versatile .|||O O O O O O O O O
when i called to have another one shipped or to get my money back they said the return policy is 23 twenty three days from the date of purchase .|||O O O O O O O O O O O O O O O O O B-AP I-AP O O O O O O O O O O O
bought from wal-mart , i believe that this laptop was a repaired item .|||O O O O O O O O O O O O O O
couldnt not use it .|||O O O O O
i sent it back and found this time that the battery was faulty , so i got a new one and some other fixes they found .|||O O O O O O O O O O B-AP O O O O O O O O O O O O O O O O
i swear they design these things to go to crap after a year so you are stuck and have to buy a new one .|||O O O O O O O O O O O O O O O O O O O O O O O O O
great pick for portability and affordability .|||O O O B-AP O B-AP O
it 's fast , it 's easy easy easy to set up , easy to hook to my wireless network .|||O O O O O O O O O O B-AP I-AP O O O B-AP I-AP I-AP I-AP I-AP O
i previously purchased a 13 macbook had pro specs and was aluminum style which had a nvidia 9800 if i am not mistaken and it had major heating issues .|||O O O O O O O O B-AP O O B-AP I-AP O O O B-AP I-AP O O O O O O O O O O O O
they did n't even try to assist me or even offer a replacement .|||O O O O O O O O O O O O O O
we used pc products , it seemed simpler to continue with the same thing .|||O O O O O O O O O O O O O O O
the people there just changed for me on the spot and i got a new arm piece and they did n't even request for a receipt .|||O O O O O O O O O O O O O O O B-AP I-AP O O O O O O O O O O
i love my samsung tv and galaxy s smartphone , but this netbook was a very poor computer .|||O O O O O O O O O O O O O O O O O O O
i made a perfect decision when i bought the toshiba !|||O O O O O O O O O O O
i take it everywhere with me because it 's so easy to carry .|||O O O O O O O O O O O O B-AP O
the only thing is that the battery wo n't last more than 1/2 an hour .|||O O O O O O B-AP O O O O O O O O O
it still heats up like mad and i am unable to use it with the computer directly on my lap for more than five to ten minutes at a time .|||O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
the first fell apart right after the 1-year-warranty .|||O O O O O O O B-AP O
i am finding my way around this laptop better than my last one .|||O O O O O O O O O O O O O O
they told me it was my loss even though it was the computer , not what i 've done .|||O O O O O O O O O O O O O O O O O O O O
i would highly recommend this macbook .|||O O O O O O O
about 2 months ago i bought the 2011 macbook pro , which was an upgrade from my 2010 macbook pro .|||O O O O O O O O O O O O O O O O O O O O O
let 's just get this out of the way , i love apple !|||O O O O O O O O O O O O O O
oh and it has word and stuff but its a trial verion so after about a month or so when you go to open it it asks for a product key which did n't come with the computer and even after clicking cancel it wont let you use it at all i use the old word processer which works good .|||O O O O B-AP O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-AP O O O O O
the keyboard has a wonderful nature feel .|||O B-AP O O O O O O
they went through asking me open up various components , taking battery out , hard disk apart , and after 2 hours on phone could not fix it .|||O O O O O O O O O O O B-AP O O B-AP I-AP O O O O O O O O O O O O O
*4 weeks after giving the computer for repair*-annoyed at machouse amsterdam , decided to send complaint email to apple .|||O O O O O O O O O O O O O O O O O O O O
while there are occasions that my computer will freeze or will need to be manually shut down , this occurs far less frequently than on pc computers and laptops that i 've used .|||O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
bought with a credit card .|||O O O O O O
the battery does n't last long but i 'm sure an upgrade battery would solve that problem .|||O B-AP O O O O O O O O O O B-AP O O O O O
i was looking too closely at the other performance specs and while comparing , i took it for granted that these features were standard .|||O O O O O O O O B-AP I-AP O O O O O O O O O O O B-AP O O O
i did a lot of research and ended up thinking this toshiba was the best one for me .|||O O O O O O O O O O O O O O O O O O O
i 've had it now about 2 months and absolutely love it .|||O O O O O O O O O O O O O
i have no idea how this could have even gotten past quality control during production .|||O O O O O O O O O O O B-AP I-AP O O O
i bought this last week , and the very next day had to return it because it over heated and the touch-mouse stopped responding .|||O O O O O O O O O O O O O O O O O O O O O B-AP O O O
i am so happy to have purchased this computer .|||O O O O O O O O O O
oh yea , has no numeric pad on the side .|||O O O O O B-AP I-AP O O O O
the cover for the dvd drive soon came off , too -- a mark of poor construction quality .|||O B-AP I-AP I-AP I-AP I-AP O O O O O O O O O O B-AP I-AP O
i returned the 2nd laptop for a full refund .|||O O O O O O O O O O
really no problems with the hand me down computers i received from my children .|||O O O O O O O O O O O O O O O
i did not take the class and wish that i would have .|||O O O O O O O O O O O O O
it would be a load on long trips where a lot of walking is required .|||O O O O O O O O O O O O O O O O
but the arm velcro is torn after one use .|||O O B-AP I-AP O O O O O O
not good for a person who gets online daily .|||O O O O O O O O O O
the laptop was returned but audio issue was not fixed .|||O O O O O O O O O O O
i ca n't even remember how i finally got it taken care of , but i was done with sony after that !|||O O O O O O O O O O O O O O O O O O O O O O O
so it was only about 2 weeks ago .|||O O O O O O O O O
i just love this lap top , i just wish it were all silver or they had all black .|||O O O O O O O O O O O O O O O O O O O O
the software is amazing .|||O B-AP O O O
we carry the netbook around here and there , hence it 's kinda of irritating when the lcd just slide downwards .|||O O O O O O O O O O O O O O O O O B-AP O O O O
there is nothing better .|||O O O O O
i now own another hewlitt packard .|||O O O O O O O
the 2 gb of ram is plenty , able to run windows 7 and at least 2 or 3 other programs with next to no slowdown .|||O B-AP I-AP I-AP I-AP O O O O O O B-AP I-AP O O O O O O O B-AP O O O O O O
the battery life is amazing , the versitility is outstanding .|||O B-AP I-AP O O O O B-AP O O O
it is known as safari , and if you are doing any website work , you should know that many hosting companies do not support it .|||O O O O B-AP O O O O O O O O O O O O O O O O O O O O O O
vista is a nightmare .|||B-AP O O O O
i spent eight hundred dollars from a giant paper weight that looks good on a bus .|||O O O O O O O O O O O O O O O O O
i have used a couple of others on the job as well .|||O O O O O O O O O O O O O
the program came with the computer and works beautifully .|||O B-AP O O O O O O O O
posted nov 8 , 2010 , two weeks ago i bought this notebook .|||O O O O O O O O O O O O O O
acer wo n't replace the laptop .|||O O O O O O O
i am also upset with cr for giving a good rating .|||O O O O O O O O O O O O
the hinge design forced you to place various connections all around the computer , left right and front .|||O B-AP I-AP O O O O O O O O O O O O O O O O
i have owned macbook pros since 2005 and this is the best yet !|||O O O O O O O O O O O O O O
i was loving this netbook because it had an amazing screen and display and was small and light , but after 1 week it stopped openning web pages for me even after installing new browsers then eventually it just started giving me a blue screen and crashing everytime i booted it .|||O O O O O O O O O O B-AP O B-AP O O O O O O O O O O O O O O O O O O O O O B-AP O O O O O O O O O B-AP O O O O O O O
now i could get myself a cheap computer , that will probably work a whole lot better !|||O O O O O O O O O O O O O O O O O O
i would definitely not go back to using a pc after using the mac .|||O O O O O O O O O O O O O O O
the so called laptop runs to slow and i hate it !|||O O O O B-AP O O O O O O O
this is the first laptop i 've owned , althougth i used several at my previous job .|||O O O O O O O O O O O O O O O O O O
those moments in thime where you want to throw something against the wall ? yeah , i wanted to throw that lap top out the window and light it on fire .|||O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
charger seems large for this class of computer .|||B-AP O O O O O O O O
i do n't really have a complaint .|||O O O O O O O O
i 'm pretty sure it 's not newegg 's fault but when you turn on a computer you just bought you want it to at least get to desktop .|||O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
best buy ended up junking the computer and giving me a replacement computer .|||O O O O O O O O O O O O O O
i dislike the quality and the placement of the speakers .|||O O O O O O O O O B-AP O
the screen graphics and clarity , and sharpness are great .|||O B-AP I-AP O B-AP O O B-AP O O O
if i have a problem with any of my apple items i make an appointment at one of my local stores and they work on correcting it right there .|||O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
so i called customer support which is good too and they went through it and it is just a safety feature and it does not affect performance at all , i just chose to hide the message .|||O O O B-AP I-AP O O O O O O O O O O O O O O B-AP I-AP O O O O O B-AP O O O O O O O O O O O
i claim that this has no value to me , the laptop was new anyway .|||O O O O O O O O O O O O O O O O
enough said .|||O O O
not working  bad|||O O O O
i would really recommend to any person out there to get this laptop cause its really worth it .|||O O O O O O O O O O O O O O O O O O O
otherwise this little notebook has met all my expectations .|||O O O O O O O O O O
my son said it popped up and he clicked update .|||O O O O O O O O O O O
i lost two items i was working on until i figured out what was happening .|||O O O O O O O O O O O O O O O O
the unibody design is edgy and durable .|||O B-AP I-AP O O O O O
stopped booting up less than a week after my one-year warranty was up .|||O B-AP I-AP O O O O O O B-AP I-AP O O O
but , for the cost this is a winner .|||O O O O B-AP O O O O O
let me tell you , this machine is great .|||O O O O O O O O O O
i have used a computer at work but having your own personal laptop is awsome !|||O O O O O O O O O O O O O O O O
later it held zero charge and its replacement worked for less than three months .|||O O O O B-AP O O O O O O O O O O
the second issue i had with it occured a month later and it kept overheating , even if on for less than an hour !|||O O O O O O O O O O O O O O O O O O O O O O O O O
also , the battery does not last very long at all .|||O O O B-AP O O O O O O O O
good luck with your purchase options .|||O O O O O O O
buy this if you like being tortured , teased , frustrated and wasting twice as much time as you spent using your old mac .|||O O O O O O O O O O O O O O O O O O O O O O O O O
very disappointed !|||O O O
they are asking me to ship the unit back to fix it at their site .|||O O O O O O O O O O O O O O O O
i bought it from hsn because it was bundled with extra software , but as it turns out , that software just crashes it more often .|||O O O O O O O O O O O B-AP O O O O O O O O B-AP O O O O O O
i looked around and based off my price comparison from a brand i trusted i landed here .|||O O O O O O O B-AP O O O O O O O O O O
