i charge it at night and skip taking the cord with me because of the good battery life .|||O O O O O O O O O B-AP O O O O O O B-AP I-AP O
it is fast booting up , shutting down , and connection with the internet .|||O O O B-AP I-AP O B-AP I-AP O O B-AP I-AP I-AP I-AP O
the battery life is great .|||O B-AP I-AP O O O
this is not a serious gaming laptop or a serious media machine ;|||O O O O O B-AP O O O O O O O
they replaced my hard drive as well as my mother board .|||O O O B-AP I-AP O O O O B-AP I-AP O
there is nothing to complain about the system .|||O O O O O O O B-AP O
and it comes with the new osx that comes with new features that makes the use more easy .|||O O O O O O B-AP O O O O B-AP O O O B-AP O O O
now the screen is going darker , darker , darker .|||O O B-AP O O O O O O O O
either the computer is too slow to detect the keys typed this is unlikely as i am a slow typist or the keyboard simply does not detect the keys being typed .|||O O O O O O O O O B-AP O O O O O O O O O O O O B-AP O O O O O B-AP O O O
features such as the dashboard allows you to view frequently used tools like a calculator , weather forecast , movie times , calendar , computer post its etc .|||B-AP O O O B-AP O O O O O O O O O O O O O O O O O O O O O O O O
when i called to have another one shipped or to get my money back they said the return policy is 23 twenty three days from the date of purchase .|||O O O O O O O O O O O O O O O O O B-AP I-AP O O O O O O O O O O O
i sent it back and found this time that the battery was faulty , so i got a new one and some other fixes they found .|||O O O O O O O O O O B-AP O O O O O O O O O O O O O O O O
great pick for portability and affordability .|||O O O B-AP O B-AP O
it 's fast , it 's easy easy easy to set up , easy to hook to my wireless network .|||O O O O O O O O O O B-AP I-AP O O O B-AP I-AP I-AP I-AP I-AP O
i previously purchased a 13 macbook had pro specs and was aluminum style which had a nvidia 9800 if i am not mistaken and it had major heating issues .|||O O O O O O O O B-AP O O B-AP I-AP O O O B-AP I-AP O O O O O O O O O O O O
the people there just changed for me on the spot and i got a new arm piece and they did n't even request for a receipt .|||O O O O O O O O O O O O O O O B-AP I-AP O O O O O O O O O O
i take it everywhere with me because it 's so easy to carry .|||O O O O O O O O O O O O B-AP O
the only thing is that the battery wo n't last more than 1/2 an hour .|||O O O O O O B-AP O O O O O O O O O
the first fell apart right after the 1-year-warranty .|||O O O O O O O B-AP O
oh and it has word and stuff but its a trial verion so after about a month or so when you go to open it it asks for a product key which did n't come with the computer and even after clicking cancel it wont let you use it at all i use the old word processer which works good .|||O O O O B-AP O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-AP O O O O O
the keyboard has a wonderful nature feel .|||O B-AP O O O O O O
they went through asking me open up various components , taking battery out , hard disk apart , and after 2 hours on phone could not fix it .|||O O O O O O O O O O O B-AP O O B-AP I-AP O O O O O O O O O O O O O
the battery does n't last long but i 'm sure an upgrade battery would solve that problem .|||O B-AP O O O O O O O O O O B-AP O O O O O
i was looking too closely at the other performance specs and while comparing , i took it for granted that these features were standard .|||O O O O O O O O B-AP I-AP O O O O O O O O O O O B-AP O O O
i have no idea how this could have even gotten past quality control during production .|||O O O O O O O O O O O B-AP I-AP O O O
i bought this last week , and the very next day had to return it because it over heated and the touch-mouse stopped responding .|||O O O O O O O O O O O O O O O O O O O O O B-AP O O O
oh yea , has no numeric pad on the side .|||O O O O O B-AP I-AP O O O O
the cover for the dvd drive soon came off , too -- a mark of poor construction quality .|||O B-AP I-AP I-AP I-AP I-AP O O O O O O O O O O B-AP I-AP O
but the arm velcro is torn after one use .|||O O B-AP I-AP O O O O O O
the software is amazing .|||O B-AP O O O
we carry the netbook around here and there , hence it 's kinda of irritating when the lcd just slide downwards .|||O O O O O O O O O O O O O O O O O B-AP O O O O
the 2 gb of ram is plenty , able to run windows 7 and at least 2 or 3 other programs with next to no slowdown .|||O B-AP I-AP I-AP I-AP O O O O O O B-AP I-AP O O O O O O O B-AP O O O O O O
the battery life is amazing , the versitility is outstanding .|||O B-AP I-AP O O O O B-AP O O O
it is known as safari , and if you are doing any website work , you should know that many hosting companies do not support it .|||O O O O B-AP O O O O O O O O O O O O O O O O O O O O O O
vista is a nightmare .|||B-AP O O O O
the program came with the computer and works beautifully .|||O B-AP O O O O O O O O
the hinge design forced you to place various connections all around the computer , left right and front .|||O B-AP I-AP O O O O O O O O O O O O O O O O
i was loving this netbook because it had an amazing screen and display and was small and light , but after 1 week it stopped openning web pages for me even after installing new browsers then eventually it just started giving me a blue screen and crashing everytime i booted it .|||O O O O O O O O O O B-AP O B-AP O O O O O O O O O O O O O O O O O O O O O B-AP O O O O O O O O O B-AP O O O O O O O
the so called laptop runs to slow and i hate it !|||O O O O B-AP O O O O O O O
charger seems large for this class of computer .|||B-AP O O O O O O O O
i dislike the quality and the placement of the speakers .|||O O O O O O O O O B-AP O
the screen graphics and clarity , and sharpness are great .|||O B-AP I-AP O B-AP O O B-AP O O O
so i called customer support which is good too and they went through it and it is just a safety feature and it does not affect performance at all , i just chose to hide the message .|||O O O B-AP I-AP O O O O O O O O O O O O O O B-AP I-AP O O O O O B-AP O O O O O O O O O O O
the unibody design is edgy and durable .|||O B-AP I-AP O O O O O
stopped booting up less than a week after my one-year warranty was up .|||O B-AP I-AP O O O O O O B-AP I-AP O O O
but , for the cost this is a winner .|||O O O O B-AP O O O O O
later it held zero charge and its replacement worked for less than three months .|||O O O O B-AP O O O O O O O O O O
also , the battery does not last very long at all .|||O O O B-AP O O O O O O O O
i bought it from hsn because it was bundled with extra software , but as it turns out , that software just crashes it more often .|||O O O O O O O O O O O B-AP O O O O O O O O B-AP O O O O O O
i looked around and based off my price comparison from a brand i trusted i landed here .|||O O O O O O O B-AP O O O O O O O O O O
i constantly had to send my laptop in for services every 3 months and it always seems to be the same problem that they said they had already fixed .|||O O O O O O O O O B-AP O O O O O O O O O O O O O O O O O O O O
strong performance in this device makes use of fun and a strong sense of the era of speed this device serves all modern requirements is a very strong game and is very use for designers .|||O B-AP O O O O B-AP O O O O O O O O O O B-AP O O O O O O O O O O O O O O B-AP O O O
unless you need the bluetooth 3 .|||O O O O B-AP I-AP O
i was sorly disapointed to discover that hp what i thought was a reputable company would n't honor the warrenty when the fan blade fell apart .|||O O O O O O O O O O O O O O O O O O O B-AP O O B-AP I-AP O O O
more times that not the screen pops up saying i have a bad internet connection , or the page ca n't be displayed .|||O O O O O O O O O O O O O B-AP I-AP O O O O O O O O O
do yourself a favor and invest in a few external harddrives if you are planning on purchasing this laptop .|||O O O O O O O O O B-AP I-AP O O O O O O O O O
i do n't understand why only windows 7 starter is included .|||O O O O O O B-AP I-AP I-AP O O O
while most people say that pcs hold functionality and value and macs are just pretty to look at , i think there 's something to be said about the simplicity of macs .|||O O O O O O O B-AP O B-AP O O O O O O B-AP O O O O O O O O O O O O B-AP O O O
my macbook is so much better looking and so thin !|||O O O O O O B-AP O O O O
the ease of use is wonderful .|||O O O B-AP O O O
this system came loaded with windows 7 starter .|||O O O O O B-AP I-AP I-AP O
-when battery life went to 4 hours or less , took it to the machouse amsterdam for repair 26th of august .|||O B-AP I-AP O O O O O O O O O O O O O O O O O O O
the battery gets so hot it is scary .|||O B-AP O O O O O O O
best thing is i can use existing 32 bit old programs .|||O O O O O O O O O O B-AP O
it 's so nice to look at and the keys are easy to type with .|||O O O O O B-AP O O O B-AP O O O O O O
i am forever changed and will no longer buy a windows based machine for personal use .|||O O O O O O O O O O B-AP O O O O O O
the only thing i would change about it is the mouse keys .|||O O O O O O O O O O B-AP I-AP O
it is absolutely horrible to use , despite all its so called advanced features .|||O O O O O B-AP O O O O O O O B-AP O
before , i reloaded with windows 7 ultimate and used only the downloaded drivers from acer 's site .|||O O O O O B-AP I-AP I-AP O O O O O B-AP O O O O O
i have to keep turning it until it decides to lower and there is no mute .|||O O O O O O O O O O O O O O O B-AP O
it 's still beautiful and has better color reproduction than i could ever expect from a notebook .|||O O O O O O O B-AP I-AP O O O O O O O O O
after that i turned to email in my next vain help to get them to acknowledge that the warranty was still valid .|||O O O O O O O O O O O O O O O O O O B-AP O O O O
he loves it and it is easy to use and well the schools start teaching the kids early about computers so it was easy for him to get started .|||O O O O O O O O B-AP O O O O O O O O O O O O O O O O O O O O O
u can do what u want in just few seconds , even to start up your computer takes few seconds .|||O O O O O O O O O O O O O B-AP I-AP O O O O O O
also , macbooks come with much more features which are so cool !|||O O O O O O O B-AP O O O O O
they sent out a sony 'certified' technician .|||O O O O B-AP I-AP I-AP O
they have developed excellent proprietary software for editing video and pictures and i 'm looking forward to utilizing these tools on the regular .|||O O O O B-AP I-AP O O O O O O O O O O O O O O O O O O
getting the apple care plan is a must .|||O O B-AP I-AP I-AP O O O O
overall i would recomend this to anybody and tell them that if they want to burn their music or play there video games to buy the cd drive .|||O O O O O O O O O O O O O O O O O O O O O B-AP I-AP O O O B-AP I-AP O
i am constantly trying to uninstall programs , clean cookies , and delete unused files .|||O O O O O O B-AP O O O O O O O O O
the dv4 boasted a faster processor , more memory , and a bigger hard drive than my old computer , plus a better quality web cam , nicer screen , and many other features .|||O O O O O B-AP O O B-AP O O O O B-AP I-AP O O O O O O O O O B-AP I-AP O O B-AP O O O O B-AP O
the only downfall is the battery only last 15-20 hrs when not plugged in .|||O O O O O B-AP O O O O O O O O O
the graphics on this computer are also stellar , very clear and vivid .|||O B-AP O O O O O O O O O O O O
aside from the trial software and the short battery life , lack of a webcam , its great .|||O O O B-AP I-AP O O O B-AP I-AP O O O O B-AP O O O O
as a die-hard windows enthusiast , i shunned the idea of a mac until this point .|||O O O B-AP O O O O O O O O O O O O O
i think that if it is the motherboard again so soon that they should replace it .|||O O O O O O O B-AP O O O O O O O O O
the computer loads in about a 1/10th of the time that my pc did , and i have all of the programs that were on my pc .|||O O B-AP O O O O O O O O O O O O O O O O O O B-AP O O O O O O
graphics are clean and sharp , internet interfaces are seamless .|||B-AP O O O O O B-AP I-AP O O O
the newer black keyboard took a little bit away from the previous gray one which looked really slick , but it is still a great notebook !|||O O B-AP I-AP O O O O O O O O O O O O O O O O O O O O O O O
sony parts reliability and quality of service is recenlty the worst .|||O O O O O O B-AP O O O O O
as with any laptop not purchased with software options , it comes with a lot of what i consider useless applications .|||O O O O O O O B-AP I-AP O O O O O O O O O O O B-AP O
its office compatible , but the features and its functioning is all new again so you might as well save the money and just learn the pre installed mac programs .|||O B-AP O O O O B-AP O O B-AP O O O O O O O O O O O O O O O O O O O B-AP O
it just works flawlessly !|||O O B-AP O O
do you think i purposely destroy my netbook , so that i can demand a new set ? do you think it 's fun to take public transport all the way to the service center and get a non-satisfactory solution ? or rather no solution .|||O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-AP I-AP O O O O O O O O O O O
i 'm having the laptop returned unrepaired since paying $ 176 every 3 months just is n't worth it that 's about how long the port seems to last .|||O O O O O O O O O O O O O O O O O O O O O O O O O B-AP O O O O
also the battery is completely shot .|||O O B-AP O O O O
/ awesome cooling system much better grafics card ati 5870 / 8gb ram led backlit screen .|||O O B-AP I-AP O O B-AP I-AP O O O B-AP I-AP I-AP I-AP I-AP O
the biggest problem is that the box had no instructions in it .|||O O O O O O O O O B-AP O O O
but after using it a couple of weeks , the overall operation is poor .|||O O O O O O O O O O O B-AP O O O
compared to similarly spec 'd pcs , this machine is good value , well built and works easily right out of the box .|||O O O O O O O O O O O B-AP O O B-AP O B-AP O O O O O O O
screen is crystal clear and the system is very responsive .|||B-AP O O O O O B-AP O O O O
i will stack it up against laptops that cost twice as much any day .|||O O O O O O O O B-AP O O O O O O
or the cursor would show up some place else .|||O O B-AP O O O O O O O
it is easy to operate and i have already ordered more software and gadgets for my new rolls royce of laptops .|||O O O O B-AP O O O O O O B-AP O B-AP O O O O O O O O
it might be something deep within windows , for i was unable to create a disk image on my hard drive .|||O O O O O O B-AP O O O O O O O O B-AP I-AP O O B-AP I-AP O
the track pad to me is what really stands out though , you can do several different things with it just depending on how many fingers you use on the track pad , awesome thinking apple !|||O B-AP I-AP O O O O O O O O O O O O O O O O O O O O O O O O O O O B-AP I-AP O O O O O
now i had not tried to use this since the disc drive had been replaced and after taking it back to the geek squad i found out they had accidently not used the right drive when they replaced the first one , so back it went to get the correct drive .|||O O O O O O O O O O B-AP I-AP O O O O O O O O O O O O O O O O O O O O O O B-AP O O O O O O O O O O O O O O O B-AP O
first , you ll discover that the word processing program known as appleworks rarely translates perfectly on anyone else s computer , if it translates at all .|||O O O O O O O B-AP I-AP I-AP O O B-AP O O O O O O O O O O O O O O O
i already have a hp laptop i bought last year that 's standard size .|||O O O O O O O O O O O O O B-AP O
battery is not upgradable to a longer life battery .|||B-AP O O O O O O O B-AP O
apple has a reputation and is well known for its easy usage .|||O O O O O O O O O O O B-AP O
returned laptop for a 3rd repair and it came back with previous problems fixed except for speaker grill but the unit started locking up during use and eventually would not operate at all .|||O O O O O O O O O O O O O O O O B-AP I-AP O O O O O O O O O O O O O O O O
i just plug this into my 22" monitor and the speedy macosx performs just as well on this dual-core that my dell did with windows 7 with a quad-core .|||O O O O O O B-AP I-AP O O O B-AP O O O O O O B-AP O O O O O B-AP I-AP O O B-AP O
love the graphics , awesome programs including garageband , and really cool default background .|||O O B-AP O O B-AP O B-AP O O O O B-AP I-AP O
screen , keyboard , and mouse , if you ca n't see yourself spending the extra money to jump up to a mac the beautiful screen , responsive island backlit keyboard , and fun multi-touch mouse is worth the extra money to me alone .|||B-AP O B-AP O O B-AP O O O O O O O O O O O O O O O O O O O B-AP O O O O B-AP O O O B-AP I-AP O O O O O O O O O
the os takes some getting used to especially after being a windows user for so long but the learning curve is so worth it !|||O B-AP O O O O O O O O O B-AP O O O O O O O O O O O O O
i also purchased iwork to go with it which has programs for word processing , spreadsheets , and presentations similar to microsoft office .|||O O O B-AP O O O O O O B-AP O B-AP I-AP O B-AP O O B-AP O O B-AP I-AP O
overall , i experienced a huge change in that my mac runs pretty fast compared to my old pc .|||O O O O O O O O O O O B-AP O O O O O O O O
when i got the computer back and realizwed it still was not correct hp told me it was out of warranty and now it was my problem .|||O O O O O O O O O O O O O O O O O O O O B-AP O O O O O O O
it also came with a built it web cam which is great because i can see an communicate with my family members back home .|||O O O O O B-AP I-AP I-AP I-AP O O O O O O O O O O O O O O O O
good monitor and performed well .|||O B-AP O B-AP O O
it was secure and easy to navigate .|||O O O O O O B-AP O
i was a little weary at purchasing another 13 macbook almost 2 years later but t looks like the newer macbooks have gotten its current line of graphics cards in order this time around .|||O O O O O O O O O O O O O O O O O O O O O O O O O O O B-AP I-AP O O O O O O
the machine has a bluray player the book has no mention of it or how to connect it to your hdtv .|||O O O O B-AP I-AP O B-AP O O O O O O O O O O O O O O
they are by far the easiest systems to actually learn about computers with .|||O O O O O O B-AP O O O O O O O
this apple navigates you thru the unexplored world of the internet .|||O O O O O O O O O O B-AP O
the video card is great for media , and above average for gaming , but not a gamers first choice .|||O B-AP I-AP O O O B-AP O O O O O B-AP O O O O O O O O
i had of course bought a 3 year warranty , so i sent it in to be replaced and almost 2 months later the dv4 is what the sent me as a replacement .|||O O O O O O B-AP I-AP I-AP O O O O O O O O O O O O O O O O O O O O O O O O O
apparently there is a manufacturing defect , something with the amount of thermal paste .|||O O O O O O O O O O O O B-AP I-AP O
despite the claims of the apple apologists a vice of which i am recently myself reformed the internals of mac laptops are no different from pcs at this point .|||O O O O O O O O O O O O O O O O O B-AP O O O O O O O O O O O O
took several hours with customer support before i could even start the pc out of the box .|||O O O O B-AP I-AP O O O O O O O O O O O O
asus facial recognition does n't work and windows logon is n't either .|||O B-AP I-AP O O O O B-AP I-AP O O O O
windows vista makes this computer almost unusable for online service .|||B-AP I-AP O O O O O O B-AP I-AP O
i contacted acer and they are giving me free recovery dvds , so do n't go and pay for them , just ask for them and they should give them to you .|||O O O O O O O O O B-AP I-AP O O O O O O O O O O O O O O O O O O O O O O
now when i order i did not go full scale for the webcam or full keyboard i wanted something for basics of being easy to carry when i use crutchs or wheelchair and with a backpack laptop bag .|||O O O O O O O O O O O O B-AP O O B-AP O O O O O O O O O B-AP O O O O O O O O O O O O O
can listen to my music and watch my videos with ease and with a great display .|||O O O O O O O O O O O O O O O B-AP O
otherwise , all other features are a 1|||O O O O B-AP O O O
the performance is awesome .|||O B-AP O O O
the display is beyond horrible .|||O B-AP O O O O
there is hardly any memory on the computer 's hard drive .|||O O O O B-AP O O O O B-AP I-AP O
actually , i had noticed the one on the sales floor also did n't have sound !|||O O O O O O O O O O O O O O O B-AP O
next , most acer laptop fans are on the bottom which is right on your laptop .|||O O O O O B-AP O O O O O O O O O O O
the laptop preformed pretty well .|||O O B-AP O O O
i got my macbook pro because i wanted to do all the stuff i need to do without worrying about the system quitting on me or freezing for a few minutes .|||O O O O O O O O O O O O O O O O O O O O O B-AP O O O O O O O O O O
i loved the netbook minus the fact that it was windows os until this started happening .|||O O O O O O O O O O B-AP I-AP O O O O O
the minute you fire it up it 's all good , very easy user interface .|||O O O O O O O O O O O O O B-AP I-AP O
i actually contact toshiba before i started having problem and was given run around after i supplied serial number in order to delay me sending in laptop until after warrenty expired .|||O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-AP O O
theres also idvd , a program dedicated to putting all your favorite media together photos , recordings , video projects into one program so that you can create the perfect memoir for your parents , family , siblings , and any other person important in your life that there may be .|||O O B-AP O O B-AP O O O O O O O O O O O O O O O O B-AP O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
after replacing the hard drive the battery stopped working 3 months of use which was frustrating .|||O O O B-AP I-AP O B-AP O O O O O O O O O O
i love the easy to see screen , and it works well for work , persoal or just play .|||O O O O O O B-AP O O O B-AP O O O O O O O O O
if what you need is a machine to do some surfing , email checking , word processing , and watching a movie or two , this is the machine you want .|||O O O O O O O O O O B-AP O O O O B-AP I-AP O O O O O O O O O O O O O O O
the mouse pad and buttons are the worst i 've ever seen .|||O B-AP I-AP O B-AP O O O O O O O O
awesome graphics !|||O B-AP O
it really is perfect for work and play .|||O O O O O B-AP O B-AP O
the pro is a great product , i wish that the 13 inch models came with the intel i processors and had a more comfortable edge the edge hurt my wrists .|||O O O O O O O O O O O O O O O O O B-AP I-AP I-AP O O O O O B-AP O B-AP O O O O
one drawback i noticed was sound quality via usb .|||O O O O O B-AP I-AP I-AP I-AP O
the battery life sucked the juice from my laptop and when the extended life battery went out we were sol there to , so much for that warranty covering all the products we purchased .|||O B-AP I-AP O O O O O O O O O B-AP I-AP I-AP O O O O O O O O O O O O B-AP O O O O O O O
i have had another mac , but it got slow due to an older operating system .|||O O O O O O O O O O O O O O B-AP I-AP O
that 's very possible , but since they do n't make windows xp drivers for the sound card in this machine , i was stuck until windows 7 came out .|||O O O O O O O O O O O B-AP I-AP I-AP O O B-AP I-AP O O O O O O O O B-AP I-AP O O O
i'ts nice to have the higher-end laptops , but this fits my budget and the features i need .|||O O O O O O O O O O O O B-AP O O B-AP O O O
was disappointed to find out that the model had been discontinued , apparently because of known motherboard problems .|||O O O O O O O O O O O O O O O O B-AP O O
well , i started using google chrome , which is a little better , but it freezes too sometimes .|||O O O O O B-AP I-AP O O O O O O O O O O O O O
also the speakers are not very loud , but it is a netbook .|||O O B-AP O O O O O O O O O O O
love this laptop wonderful price for what you get !|||O O O O B-AP O O O O O
just a black screen !|||O O O B-AP O
a key contributor that led me to mac is the art aspect .|||O O O O O O O O O O B-AP I-AP O
eventually my battery would n't charge , so unless i had it plugged in it would n't even power on .|||O O B-AP O O O O O O O O O O O O O O O O O O
purchased for development purposes , but it has turned into my everyday laptop as well for surfing , e-mail , etc .|||O O O O O O O O O O O O O O O O B-AP O O O O O
my first problem was with the pre-loaded norton firewall/security program .|||O O O O O O B-AP I-AP I-AP I-AP O
i had a usb connect but , i ca n't use it because it is not compatible .|||O O O B-AP I-AP O O O O O O O O O O O O O
accordingly , i have decided to never purchase another hp product my five year old compaq lasted 5-years before the hard drive crashed .|||O O O O O O O O O O O O O O O O O O O O B-AP I-AP O O
i know that everyone thinks macs are overpriced and overrated , but once you get past the initial expense you 'll find that they 're worth every penny besides , there 's always the financing plan that best buy offers .|||O O O O O O O O O O O O O O O O O O B-AP O O O O O O O O O O O O O O O O O O O O O O
i am not going to sit here and complain about it not having a cd drive and what not because it is a netbook , it is made to be compact and if you want all the other stuff get a laptop .|||O O O O O O O O O O O O O O B-AP I-AP O O O O O O O O O O O O O O O O O O O O O O O O O O O
i love the multi-touch trackpad .|||O O O B-AP I-AP O
hp is more interested in selling extended warranties which cost more than the netbook new then they are in helping or fixing .|||O O O O O O B-AP I-AP O B-AP O O O O O O O O O O O O O
not too much junk software to remove .|||O O O O B-AP O O O
system is loosing about 20 % of performance because of that .|||B-AP O O O O O O B-AP O O O O
it is easy to use , good quality and good price .|||O O O O B-AP O O B-AP O O B-AP O
the difference in the apple keyboard from a pc's keyboard took a bit of tim to get used to , but overall it 's worth it !|||O O O O B-AP I-AP O O B-AP I-AP O O O O O O O O O O O O O O O O O
the extended warranty for the $ 4000 and up computers was the only one available for purchase on the drop drown menu .|||O B-AP I-AP O O O O O O O O O O O O O O O O O O O O
only issue is that it is a little slow , and i 'm fixing that by adding more ram .|||O O O O O O O O O O O O O O O O O O B-AP O
the hard drive crashed as well , and i had to buy a new power cord .|||O B-AP I-AP O O O O O O O O O O O B-AP I-AP O
another issue i have with it is the battery .|||O O O O O O O O B-AP O
after 2 months of complaints , asus finally sent the right power supply to my techies .|||O O O O O O O O O O O B-AP I-AP O O B-AP O
that included the extra sony sonic stage software , the speakers and the subwoofer i got that was worth the money , the bluetooth mouse for my supposedly bluetooth enabled computer , the extended life battery and the docking port .|||O O O O B-AP I-AP I-AP I-AP O O B-AP O O B-AP O O O O O O O O O B-AP I-AP O O O B-AP I-AP O O O B-AP I-AP I-AP O O B-AP I-AP O
my macbook pro works like a dream , it has never overheated , or even been slightly warm for that matter .|||O O O B-AP O O O O O O O O O O O O O O O O O O
pc users use the powerpoint program for slide-show presentation and mac users utilize keynote .|||O O O O B-AP I-AP O O O O O O O B-AP O
i get a ton of compliments on its size , and speaking as someone who regularly commutes on a bus , i can attest to the fact that this is the perfect size computer if you 're restricted to the width of your body for computing room .|||O O O O O O O O B-AP O O O O O O O O O O O O O O O O O O O O O O O B-AP O O O O O O O O O O O O O O O
it takes me approximately 3 tries to get to each site , then after closing the browser and reopening it it actually works .|||O O O O O O O O O O O O O O O O B-AP O O O O O O O
easy to carry , can be taken anywhere , can be hooked up to printers , headsets .|||O O B-AP O O O O O O O O O O O O O O O
also the keyboard does not liht up so unless your sitting in a room with some light you ca n't see anything and thats bad for me because my boyfriend tends to watch tv in the dark at night which leaves me with no way of seeing the keyboard .|||O O B-AP O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-AP O
when i got my laptop back after this first instance it worked okay for a little bit then i started expeirencing issues again , everything from programs and drivers failing again , to it powering off for no reason , to locking up and freezing and just all sorts of issues .|||O O O O O O O O O O O O O O O O O O O O O O O O O O B-AP O B-AP O O O O O O O O O O O O O O O O O O O O O O O
love that it does n't take up space like a regular computer .|||O O O O O O O B-AP O O O O O
asked the customer service rep .|||O O B-AP I-AP I-AP O
so , i took it back to the apple store and they narcissist genius bar staff fixed it by resetting the fan at boot up .|||O O O O O O O O O O O O O B-AP I-AP I-AP O O O O O B-AP O B-AP I-AP O
just keep in mind the graphics is not dedicated so loading the movie almost took a minute , but it ran fairly smooth for a non-dedicated graphics card .|||O O O O O B-AP O O O O O O O O O O O O O O O O O O O O B-AP O O
needs power and mouse cable to plug in back instead of side , in the way of operating a mouse in small area .|||O O O B-AP I-AP O O O O O O O O O O O O O O B-AP O O O O
-4 ram slots , 2 hdd bays , 16gb ram support -no wireless issues , at least for me .|||O B-AP I-AP O O B-AP I-AP O B-AP I-AP I-AP O B-AP O O O O O O O
i agree with the previous comment that asus tech support is horrible which is a con in my opinion .|||O O O O O O O B-AP I-AP I-AP O O O O O O O O O O
in fact , somehow and i never opened it up some specks of dust or something got inside the screen and are now there permanently , behind the front of the screen , in the way of the display .|||O O O O O O O O O O O O O O O O O O O B-AP O O O O O O O O O O O B-AP O O O O O O B-AP O
the mouse on the pad , the left button always sticks .|||O B-AP I-AP I-AP I-AP O O B-AP I-AP O O O
i have tried to charge on different batteries with no luck .|||O O O O O O O B-AP O O O O
i would recommend this computer to anyone searching for the perfect laptop , and the battery life is amazing .|||O O O O O O O O O O O O O O O B-AP I-AP O O O
we use the built in tools often , itunes is open nearly every day and works great with my iphone .|||O O O B-AP I-AP I-AP O O B-AP O O O O O O O O O O O O
the size of has actually help me out quite a bit by me being able to fit it in an already full backpack and to use it at a resturant where the food on the table is always so space consuming .|||O B-AP O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
true quality at a great price !|||O B-AP O O O B-AP O
not easy to carry .|||O O O B-AP O
the programs that come standard with the leopard running system are enough for the average person to run all the basics .|||O B-AP O O O O O B-AP I-AP I-AP O O O O O O O O O O O O
so what am i supposed to do ? the lg service center can not provide me the service when it is called the service center .|||O O O O O O O O O B-AP I-AP I-AP O O O O O B-AP O O O O O B-AP I-AP O
the material this pro is made out of seems a lot nicer than any pc specs , like i said this performs a lot better than any computer i 've had in the past .|||O B-AP O O O O O O O O O O O O O B-AP O O O O O B-AP O O O O O O O O O O O O O
after doing extensive research , macconnection had the lowest price on the 15 mbp i5 .|||O O O O O O O O O B-AP O O O O O O
i am addicted to photo booth !|||O O O O B-AP I-AP O
the operating system and user interface is very intuitive , and the large multi-touch track pad is amazing .|||O B-AP I-AP O B-AP I-AP O O O O O O O B-AP I-AP I-AP O O O
hard disk , the new editions gives you more hard disk space 500gb instead of 320gb but time has taught me never to trust an internal hard disk .|||B-AP I-AP O O O O O O O B-AP I-AP I-AP O O O O O O O O O O O O O B-AP I-AP I-AP O
it is extremely portable and easily connects to wifi at the library and elsewhere .|||O O O O O O B-AP I-AP I-AP O O O O O O
first things first , macbook pro has many applications to make life easier , unlike the windows computers .|||O O O O O O O O B-AP O O O O O O O B-AP O O
and the screen on this thing is absolutely amazing for high quality videos and movies and gaming .|||O O B-AP O O O O O O O O O O O O O B-AP O
i considered i may have too much on the computer , but after looking , there was plenty of space and that is not the issue .|||O O O O O O O O O O O O O O O O O O O B-AP O O O O O O O
i do n't use my laptop in a way though that needs a long battery life so it 's perfect for me .|||O O O O O O O O O O O O O O B-AP I-AP O O O O O O O
i must keep it plugged in at all times because it will not keep a charge for longer than four minutes .|||O O O O O O O O O O O O O O O B-AP O O O O O O
summary , i 've had this laptop for 2 months , out of the blue the power adapter stops working .|||O O O O O O O O O O O O O O O O B-AP I-AP O O O
i saw walmart had the same computer for about $ 650 but still knowing what i know now , i would not buy it at that price .|||O O O O O O O O O O O O O O O O O O O O O O O O O O B-AP O
of course , for a student , weight is always an issue .|||O O O O O O O B-AP O O O O O
now mainboard is broken , have to wait for a new one .|||O B-AP O O O O O O O O O O O
the speed difference is next to nothing for a mac , and the hard drive can be manually upgraded or you could just buy a $ 60 500gb external hard drive .|||O B-AP O O O O O O O O O O O B-AP I-AP O O O O O O O O O O O O O O B-AP I-AP O
2the wireless card is low quality .|||O B-AP I-AP O O O O
they also use two totally different operating systems .|||O O O O O O B-AP I-AP O
they are about the same size keys .|||O O O O O O B-AP O
i was n't really as concerned about portability it 's a very large laptop but it 's not hard to move around or take on a trip which was a pleasant surprise .|||O O O O O O O B-AP O O O O O O O O O O O O O O O O O O O O O O O O O
the people are frustrating to work with , the product itself is very cheaply made , and the accessories are less than satisfactory .|||O O O O O O O O O O O O O O O O O O B-AP O O O O O
they offer the best warranty in the business , and do n't 3rd party it out like toshiba .|||O O O O B-AP O O O O O O O O O O O O O O
the only problems are the sound isnt very loud i have to wear headphones .|||O O O O O B-AP O O O O O O O O O
again windows based machines were not giving me anything to work with !|||O B-AP O O O O O O O O O O O
everything about a mac is wonderful , it takes a little used to learning and getting used to the new system , but you will learn fast and its all worth it .|||O O O O O O O O O O O O O O O O O O O O B-AP O O O O O O O O O O O O
